lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,is_code_smell
0,0,0,false
1,2,0,false
0,1,0,false
6,4,0,false
6,4,0,false
0,1,0,false
0,6,3,false
0,2,2,false
3,3,0,false
6,4,0,false
0,7,2,false
0,1,0,false
0,1,1,false
0,2,1,false
6,4,1,false
0,2,1,false
1,2,0,false
0,1,0,false
13,6,3,false
0,2,1,false
0,1,1,false
0,8,2,false
0,5,1,false
0,2,2,false
0,2,0,false
0,6,4,false
0,2,0,false
0,2,2,false
10,5,0,false
0,0,1,false
0,1,3,false
0,4,0,false
0,1,0,false
1,2,0,false
1,2,0,false
9,7,1,false
3,3,1,false
0,9,2,false
0,2,2,false
0,1,0,false
0,2,1,false
0,4,2,false
1,2,1,false
0,2,2,false
0,4,2,false
0,2,2,false
6,4,0,false
0,8,0,false
0,2,0,false
0,3,0,false
0,2,1,false
0,9,0,false
2,9,2,false
3,3,0,false
0,2,2,false
0,3,1,false
0,2,0,false
0,2,0,false
0,2,1,false
3,3,0,false
1,3,1,false
1,3,1,false
0,7,0,false
1,2,0,false
3,3,0,false
0,2,1,false
1,3,1,false
1,3,1,false
1,3,1,false
0,5,1,false
0,1,2,false
4,4,2,false
3,6,1,false
0,3,1,false
0,0,0,false
6,4,0,false
1,3,1,false
14,8,3,false
0,3,1,false
0,4,1,false
6,4,0,false
0,5,1,false
0,2,1,false
0,2,2,false
0,1,0,false
0,8,0,false
0,9,0,false
0,3,1,false
0,5,1,false
1,3,1,false
0,2,0,false
0,2,2,false
1,2,0,false
1,2,0,false
0,1,2,false
1,3,2,false
1,2,1,false
0,2,3,false
0,2,3,false
0,4,1,false
1,2,0,false
0,2,2,false
1,2,1,false
0,2,2,false
0,2,0,false
1,2,1,false
0,2,1,false
1,2,0,false
1,2,0,false
1,4,2,false
0,2,1,false
0,3,2,false
1,3,1,false
0,2,1,false
1,3,2,false
1,2,0,false
0,5,4,false
3,3,0,false
1,2,0,false
0,4,0,false
0,5,1,false
0,5,2,false
0,5,3,false
0,2,4,false
0,1,0,false
0,2,3,false
1,3,1,false
0,2,2,false
0,4,1,false
0,0,0,false
0,1,0,false
3,3,0,false
10,6,0,false
1,3,2,false
0,3,2,false
1,3,1,false
0,3,1,false
3,3,0,false
1,3,1,false
1,3,1,false
6,4,0,false
0,3,2,false
1,3,2,false
0,3,1,false
0,1,0,false
0,4,2,false
0,1,0,false
4,4,1,false
0,2,1,false
11,7,4,false
0,1,0,false
0,2,1,false
4,5,1,false
0,2,3,false
1,2,0,false
6,4,0,false
1,2,1,false
0,0,0,false
11,6,3,false
0,2,3,false
1,2,0,false
0,1,3,false
10,5,0,false
0,2,1,false
0,2,2,false
0,2,1,false
0,2,2,false
0,2,3,false
6,5,4,false
0,3,0,false
1,3,4,false
1,3,2,false
0,8,1,false
0,2,1,false
0,1,0,false
4,4,1,false
3,3,0,false
1,2,0,false
1,3,1,false
6,4,0,false
1,2,0,false
0,1,0,false
0,1,0,false
0,3,1,false
0,2,1,false
0,6,0,false
1,2,1,false
0,2,1,false
0,2,1,false
1,2,0,false
0,1,0,false
0,2,1,false
0,3,1,false
0,1,0,false
0,5,2,false
0,4,2,false
0,4,3,false
0,4,4,false
0,7,2,false
0,0,0,false
4,4,2,false
0,2,2,false
0,2,1,false
1,2,1,false
0,8,0,false
0,3,1,false
1,2,0,false
0,1,0,false
0,2,1,false
4,4,1,false
4,4,2,false
0,4,2,false
0,3,1,false
1,2,0,false
10,5,1,false
3,3,0,false
0,1,0,false
0,3,2,false
0,2,1,false
0,2,2,false
0,2,1,false
1,2,1,false
0,2,1,false
0,3,1,false
0,2,1,false
4,4,2,false
0,2,1,false
1,2,1,false
0,4,1,false
1,2,1,false
0,2,1,false
3,6,3,false
0,5,1,false
1,2,0,false
1,2,1,false
0,2,2,false
0,2,1,false
0,1,1,false
1,2,1,false
1,2,1,false
0,4,0,false
1,2,0,false
3,3,0,false
0,3,1,false
3,3,0,false
1,2,0,false
0,4,0,false
4,4,4,false
0,3,0,false
0,3,2,false
10,5,0,false
1,2,0,false
1,2,0,false
1,3,1,false
0,2,1,false
10,5,0,false
0,2,2,false
0,4,4,false
3,3,1,false
0,5,1,false
6,6,0,false
0,2,1,false
0,6,2,false
2,5,2,false
1,3,1,false
3,3,1,false
3,3,0,false
1,2,2,false
0,5,0,false
9,7,1,false
1,3,1,false
0,9,3,false
0,9,2,false
3,3,0,false
1,3,4,false
1,3,3,false
1,3,2,false
0,8,0,false
0,2,2,false
0,2,1,false
1,2,3,false
0,3,0,false
0,1,0,false
0,1,0,false
3,3,0,false
0,1,0,false
0,2,3,false
1,2,0,false
7,6,2,false
8,5,1,false
3,3,0,false
0,1,0,false
0,6,2,false
1,3,1,false
0,0,0,false
1,2,0,false
0,4,2,false
0,1,4,false
0,2,0,false
0,3,1,false
3,3,1,false
0,5,1,false
7,7,3,false
0,2,1,false
0,2,2,false
0,6,2,false
0,3,1,false
0,2,2,false
0,1,0,false
0,5,1,false
0,2,4,false
0,2,2,false
1,2,1,false
0,2,0,false
0,2,0,false
0,2,1,false
1,2,1,false
0,3,2,false
1,2,1,false
0,2,1,false
0,3,1,false
0,2,0,false
6,4,0,false
0,1,0,false
4,4,2,false
12,8,3,false
6,5,2,false
0,0,0,false
1,2,0,false
0,1,0,false
0,2,3,false
0,8,1,false
1,3,1,false
1,3,1,false
8,5,2,false
1,3,1,false
0,2,2,false
0,1,0,false
0,2,2,false
1,3,2,false
3,3,1,false
0,1,0,false
8,5,2,false
0,1,0,false
0,4,0,false
3,3,0,false
0,1,1,false
1,2,2,false
0,1,0,false
0,5,1,false
3,3,1,false
0,1,1,false
0,2,3,false
0,2,3,false
0,2,2,false
0,2,3,false
0,7,0,false
0,2,4,false
8,5,1,false
0,2,2,false
0,1,0,false
0,2,3,false
0,2,2,false
0,3,1,false
2,5,2,false
10,5,0,false
10,5,0,false
3,3,0,false
0,1,0,false
0,1,0,false
1,3,2,false
1,7,1,false
0,3,2,false
0,5,1,false
0,3,0,false
0,2,2,false
0,2,0,false
0,5,1,false
1,2,0,false
1,2,1,false
1,3,2,false
0,2,1,false
3,3,0,false
0,2,2,false
0,6,0,false
4,4,2,false
14,8,2,false
0,2,1,false
0,3,1,false
6,4,0,false
0,2,2,false
0,7,2,false
0,0,0,false
0,4,2,false
0,0,0,false
1,5,0,false
0,1,0,false
0,4,1,false
4,4,3,false
1,2,1,false
1,2,0,false
0,2,3,false
0,1,0,false
0,1,0,false
1,3,2,false
1,2,0,false
0,1,0,false
0,9,0,false
1,2,0,false
0,1,0,false
5,6,4,false
0,1,3,false
0,5,1,false
0,3,2,false
0,5,0,false
0,3,1,false
0,1,0,false
0,2,1,false
1,3,1,false
1,3,2,false
1,3,2,false
0,2,4,false
0,7,0,false
1,3,2,false
3,3,0,false
1,3,1,false
0,2,1,false
0,2,2,false
0,2,1,false
3,3,0,false
0,2,1,false
0,2,2,false
1,3,1,false
0,3,0,false
13,6,1,false
0,2,0,false
1,3,1,false
1,3,1,false
1,3,1,false
0,5,3,false
1,2,0,false
1,3,1,false
1,3,1,false
3,3,0,false
1,3,1,false
1,2,0,false
0,2,1,false
0,2,1,false
0,2,1,false
1,3,1,false
1,3,1,false
0,1,0,false
1,3,1,false
8,5,2,false
0,5,1,false
0,3,0,false
6,5,2,false
1,2,1,false
0,2,2,false
0,0,3,false
0,2,1,false
0,8,1,false
3,3,0,false
0,3,1,false
2,5,4,false
0,1,0,false
0,1,0,false
0,2,2,false
1,2,0,false
0,1,0,false
1,3,1,false
0,6,0,false
1,7,1,false
1,2,0,false
0,1,0,false
1,2,0,false
1,3,1,false
5,6,4,false
1,2,0,false
0,1,0,false
0,1,2,false
3,3,0,false
0,4,0,false
0,9,0,false
1,2,1,false
0,4,1,false
1,2,1,false
3,3,0,false
0,2,3,false
0,1,0,false
1,2,1,false
2,8,3,false
0,2,0,false
1,2,1,false
0,5,0,false
0,3,4,false
0,3,1,false
1,3,1,false
0,2,1,false
0,2,2,false
0,1,0,false
0,2,2,false
1,3,2,false
1,2,1,false
0,3,2,false
0,1,0,false
1,3,3,false
0,2,2,false
0,4,2,false
0,2,3,false
0,3,1,false
0,3,2,false
11,6,2,false
0,3,0,false
0,2,1,false
0,1,3,false
0,5,2,false
0,4,0,false
0,0,0,false
0,3,1,false
0,2,1,false
1,2,0,false
0,2,1,false
0,2,1,false
0,2,1,false
8,5,1,false
0,2,1,false
9,7,4,false
0,8,0,false
0,2,1,false
0,1,0,false
0,2,1,false
1,2,0,false
0,5,2,false
0,2,1,false
1,3,2,false
0,2,3,false
1,3,1,false
1,3,3,false
1,3,1,false
1,3,3,false
1,3,1,false
1,3,4,false
1,3,1,false
1,3,2,false
6,4,0,false
0,6,2,false
0,2,1,false
1,3,4,false
4,4,1,false
1,2,0,false
6,4,1,false
0,1,0,false
0,2,1,false
6,4,0,false
1,2,0,false
1,2,0,false
0,1,0,false
1,3,0,false
1,3,1,false
10,5,1,false
1,3,0,false
1,3,1,false
1,3,1,false
1,3,1,false
6,4,4,false
1,3,1,false
0,1,0,false
3,3,0,false
1,2,0,false
0,1,3,false
1,2,0,false
4,5,4,false
1,2,0,false
1,2,0,false
0,7,4,false
10,5,0,false
2,4,4,false
1,2,0,false
0,2,1,false
0,5,0,false
4,5,1,false
3,7,2,false
0,4,0,false
6,4,0,false
1,2,1,false
3,3,0,false
0,1,0,false
1,2,0,false
0,0,0,false
0,5,0,false
13,7,3,false
0,3,0,false
0,3,2,false
0,0,0,false
4,4,4,false
0,5,1,false
4,4,2,false
0,0,0,false
0,7,0,false
0,3,0,false
0,1,4,false
1,2,0,false
4,4,1,false
1,2,0,false
0,1,0,false
3,3,0,false
1,3,2,false
3,3,0,false
2,4,3,false
0,2,0,false
1,2,0,false
0,8,3,false
4,4,2,false
0,3,0,false
1,2,0,false
0,4,0,false
0,1,0,false
1,3,2,false
1,2,0,false
0,5,1,false
4,5,2,false
10,5,1,false
9,6,1,false
0,3,2,false
0,3,1,false
8,5,2,false
0,4,0,false
0,2,1,false
0,2,3,false
0,2,1,false
1,2,2,false
0,2,1,false
0,4,3,false
3,3,0,false
1,2,2,false
2,5,2,false
1,2,1,false
3,3,0,false
0,4,0,false
1,3,2,false
3,3,1,false
13,6,1,false
0,4,3,false
0,2,2,false
0,2,1,false
0,1,0,false
0,2,2,false
1,3,2,false
1,3,2,false
0,2,0,false
1,3,1,false
1,2,1,false
0,2,2,false
0,4,4,false
0,1,0,false
0,1,0,false
1,2,1,false
1,2,1,false
3,7,3,false
1,2,0,false
0,2,1,false
0,3,1,false
0,1,0,false
0,3,1,false
0,5,1,false
1,2,0,false
0,1,0,false
0,4,2,false
0,5,1,false
1,2,0,false
1,3,1,false
3,6,1,false
0,2,0,false
1,3,1,false
0,2,3,false
1,3,1,false
0,7,0,false
0,2,2,false
0,2,3,false
0,2,2,false
0,2,0,false
1,2,0,false
3,3,0,false
0,2,1,false
0,1,0,false
0,1,0,false
1,3,1,false
0,5,1,false
4,4,1,false
0,2,3,false
0,2,0,false
3,3,0,false
1,2,0,false
1,2,0,false
0,5,1,false
0,4,1,false
0,1,0,false
0,1,0,false
10,5,0,false
0,1,0,false
1,2,1,false
4,4,2,false
1,2,1,false
0,1,0,false
1,3,1,false
1,3,1,false
1,3,1,false
0,2,2,false
0,1,0,false
0,7,2,false
0,0,0,false
0,3,1,false
0,1,2,false
0,3,1,false
1,3,1,false
10,5,0,false
0,4,2,false
0,2,2,false
0,1,3,false
0,2,3,false
0,2,3,false
0,2,2,false
0,4,2,false
0,4,0,false
1,2,1,false
0,5,1,false
0,5,4,false
1,3,2,false
0,3,3,false
0,8,1,false
4,4,3,false
3,3,1,false
1,2,0,false
3,3,4,false
0,1,0,false
0,4,3,false
8,5,1,false
0,1,1,false
2,5,3,false
1,3,2,false
0,6,2,false
0,5,1,false
0,1,1,false
0,2,1,false
0,2,3,false
1,2,0,false
0,1,2,false
0,2,1,false
0,2,1,false
8,5,1,false
0,2,2,false
0,5,1,false
0,5,0,false
1,3,1,false
0,2,1,false
3,3,0,false
0,1,0,false
0,7,1,false
0,2,1,false
3,3,0,false
0,5,1,false
0,2,2,false
4,4,3,false
0,5,0,false
0,2,2,false
10,5,0,false
3,3,1,false
0,8,0,false
0,2,1,false
9,7,2,false
0,1,0,false
0,3,2,false
3,3,0,false
1,3,4,false
1,3,2,false
1,3,1,false
1,3,2,false
0,3,0,false
1,3,2,false
0,8,0,false
0,5,1,false
0,2,4,false
0,2,2,false
0,5,0,false
0,0,0,false
0,2,1,false
3,3,0,false
1,3,4,false
1,3,1,false
0,1,0,false
3,3,0,false
0,5,0,false
0,1,0,false
0,2,3,false
1,2,0,false
0,5,1,false
0,3,0,false
0,1,0,false
0,2,1,false
1,2,0,false
3,3,0,false
0,4,0,false
1,2,0,false
0,1,2,false
9,7,1,false
0,2,1,false
1,2,0,false
0,5,1,false
3,3,0,false
0,5,1,false
10,5,0,false
1,2,0,false
0,2,2,false
0,2,0,false
1,2,0,false
1,3,3,false
0,5,1,false
10,5,1,false
0,6,0,false
1,2,1,false
0,2,2,false
0,2,2,false
0,1,0,false
0,2,2,false
0,2,2,false
0,2,1,false
0,2,2,false
0,2,2,false
0,2,2,false
1,2,0,false
0,5,1,false
1,3,1,false
0,1,0,false
1,6,4,false
0,1,0,false
6,4,0,false
0,2,2,false
10,5,1,false
1,3,1,false
1,3,1,false
3,3,0,false
1,3,1,false
1,3,1,false
1,3,1,false
0,2,2,false
3,6,1,false
0,8,4,false
1,2,1,false
0,1,0,false
0,8,4,false
6,4,0,false
10,5,0,false
0,2,0,false
1,2,0,false
1,2,0,false
6,4,1,false
0,2,2,false
1,3,2,false
0,1,0,false
0,1,0,false
0,2,1,false
10,5,0,false
13,6,2,false
3,3,0,false
0,3,2,false
0,0,0,false
5,6,4,false
0,2,1,false
0,6,0,false
1,2,1,false
0,3,1,false
0,1,2,false
0,2,1,false
0,1,3,false
1,2,1,false
1,2,1,false
0,1,0,false
0,2,2,false
0,2,1,false
0,3,0,false
0,2,1,false
3,3,0,false
1,3,4,false
2,8,3,false
0,9,1,false
0,3,1,false
0,2,4,false
0,5,1,false
3,3,0,false
10,9,2,false
6,4,0,false
0,2,1,false
0,2,2,false
0,2,2,false
1,2,0,false
2,4,2,false
1,2,0,false
0,2,2,false
0,2,2,false
4,4,1,false
0,2,2,false
0,2,1,false
1,2,0,false
0,2,0,false
0,4,0,false
1,2,0,false
2,5,4,false
2,5,4,false
1,2,1,false
0,2,2,false
1,2,1,false
0,2,2,false
3,3,1,false
0,5,2,false
3,6,1,false
1,2,1,false
0,0,0,false
0,4,0,false
0,3,1,false
3,7,2,false
0,2,0,false
0,6,1,false
3,3,0,false
3,3,0,false
1,2,0,false
0,1,0,false
0,1,0,false
0,2,2,false
1,3,2,false
1,2,1,false
0,2,1,false
0,3,3,false
3,3,0,false
1,2,0,false
10,5,0,false
0,1,0,false
1,2,0,false
0,3,0,false
0,1,0,false
0,1,1,false
0,6,2,false
0,2,2,false
8,5,1,false
10,5,0,false
10,5,1,false
0,2,0,false
0,1,0,false
1,2,2,false
0,0,0,false
0,1,0,false
1,2,0,false
3,3,0,false
1,2,0,false
4,5,1,false
0,3,0,false
0,1,0,false
1,2,0,false
0,4,0,false
0,1,0,false
0,0,0,false
0,0,0,false
0,8,0,false
0,3,0,false
1,2,1,false
13,8,1,false
0,2,1,false
3,3,0,false
0,2,3,false
0,2,4,false
0,8,1,false
0,2,3,false
0,1,0,false
0,2,1,false
1,2,1,false
1,2,1,false
0,3,1,false
3,3,0,false
0,1,0,false
0,1,0,false
0,5,1,false
0,3,1,false
6,4,0,false
13,7,3,false
0,0,0,false
3,3,0,false
1,2,0,false
1,2,0,false
1,2,0,false
1,2,0,false
1,2,0,false
0,1,0,false
1,2,0,false
1,2,0,false
0,2,0,false
0,1,0,false
1,7,1,false
3,3,0,false
1,2,0,false
3,3,0,false
1,2,1,false
0,1,4,false
0,3,1,false
1,2,0,false
0,1,0,false
6,4,0,false
0,6,1,false
8,5,2,false
0,1,0,false
0,5,0,false
4,4,1,false
1,7,2,false
0,3,1,false
0,2,1,false
0,2,1,false
0,2,2,false
0,2,1,false
0,2,1,false
4,4,1,false
0,5,0,false
1,3,2,false
0,2,1,false
0,8,2,false
0,3,1,false
1,3,1,false
0,2,1,false
3,3,0,false
1,2,1,false
1,2,0,false
0,1,0,false
4,5,3,false
0,1,0,false
0,2,1,false
0,5,0,false
0,2,0,false
1,3,2,false
0,0,0,false
0,2,2,false
0,2,1,false
0,3,3,false
0,2,2,false
1,3,1,false
0,2,4,false
4,4,4,false
0,4,4,false
0,1,4,false
1,2,0,false
0,1,0,false
1,2,1,false
1,3,1,false
1,2,0,false
0,2,1,false
1,3,1,false
1,3,1,false
1,3,1,false
0,3,0,false
0,1,0,false
3,3,0,false
3,3,0,false
13,7,1,false
0,2,4,false
1,2,0,false
1,2,0,false
1,2,1,false
0,9,0,false
0,1,2,false
0,4,2,false
1,2,1,false
0,2,0,false
0,3,1,false
4,5,1,false
0,3,2,false
0,2,2,false
0,2,1,false
0,2,1,false
0,2,0,false
0,2,1,false
0,0,0,false
0,3,1,false
0,2,0,false
0,5,1,false
0,1,0,false
1,2,0,false
0,8,0,false
6,4,0,false
0,1,0,false
0,3,0,false
3,3,0,false
0,2,0,false
0,1,2,false
3,3,0,false
0,4,2,false
0,2,1,false
0,2,1,false
0,1,0,false
0,5,1,false
0,5,2,false
1,3,3,false
10,5,2,false
0,3,1,false
1,2,0,false
0,2,1,false
0,1,0,false
1,2,0,false
1,2,0,false
0,2,3,false
0,3,1,false
1,3,0,false
0,2,2,false
0,2,2,false
2,9,2,false
6,4,0,false
3,3,0,false
1,2,0,false
0,1,0,false
0,5,2,false
6,8,2,false
1,3,3,false
0,6,3,false
0,0,0,false
0,2,4,false
1,3,1,false
0,2,4,false
0,2,1,false
1,2,0,false
0,1,0,false
0,1,1,false
0,1,1,false
2,5,2,false
3,3,0,false
0,1,0,false
3,3,0,false
1,2,2,false
0,3,0,false
6,5,2,false
1,3,1,false
0,2,0,false
0,3,1,false
2,4,2,false
0,3,2,false
0,1,0,false
6,5,2,false
1,2,0,false
0,7,0,false
1,2,1,false
0,2,2,false
0,2,2,false
0,7,2,false
0,1,0,false
10,5,0,false
3,3,0,false
0,2,3,false
1,2,1,false
0,2,1,false
0,2,3,false
0,9,1,false
0,2,4,false
0,2,4,false
1,2,1,false
0,2,3,false
0,2,2,false
1,2,0,false
4,4,3,false
1,2,1,false
0,2,2,false
3,3,0,false
3,3,0,false
0,2,0,false
3,3,0,false
0,1,4,false
1,2,1,false
1,2,0,false
6,4,0,false
1,2,0,false
11,6,4,false
1,2,0,false
0,4,3,false
0,1,0,false
0,2,1,false
0,2,3,false
1,2,0,false
0,4,0,false
0,2,2,false
0,7,2,false
0,4,1,false
10,5,0,false
0,2,2,false
0,1,0,false
0,1,2,false
3,3,0,false
6,8,2,false
0,7,0,false
0,2,0,false
4,4,1,false
0,1,0,false
0,2,2,false
0,0,0,false
0,1,0,false
3,3,0,false
1,2,0,false
0,1,0,false
0,3,1,false
0,2,1,false
0,2,2,false
3,4,0,false
0,2,0,false
0,5,1,false
0,1,2,false
3,3,1,false
0,2,1,false
0,4,1,false
1,2,0,false
0,1,0,false
1,2,0,false
0,1,1,false
1,2,0,false
1,2,0,false
0,1,0,false
0,2,0,false
1,2,0,false
3,3,1,false
0,1,0,false
3,3,0,false
0,3,0,false
0,6,2,false
0,1,0,false
0,5,1,false
3,3,0,false
3,3,0,false
0,2,1,false
1,3,2,false
0,3,1,false
0,1,2,false
1,2,0,false
0,2,0,false
0,2,1,false
3,3,1,false
0,2,2,false
0,1,0,false
3,3,0,false
1,2,0,false
0,2,1,false
0,8,4,false
0,3,1,false
0,1,0,false
0,1,1,false
0,3,2,false
0,3,0,false
6,4,0,false
0,2,4,false
1,2,0,false
1,2,0,false
10,5,0,false
0,1,1,false
0,3,1,false
0,1,0,false
3,3,0,false
0,2,2,false
0,3,2,false
0,5,3,false
0,5,1,false
0,3,0,false
1,2,1,false
0,4,2,false
5,6,3,false
3,3,0,false
0,4,2,false
0,4,2,false
0,5,2,false
0,2,0,false
0,6,0,false
1,2,1,false
0,6,1,false
1,2,0,false
1,2,0,false
1,2,1,false
0,1,0,false
1,3,3,false
0,8,3,false
0,2,0,false
0,1,0,false
2,5,4,false
0,1,2,false
0,3,1,false
0,5,1,false
1,2,0,false
0,4,2,false
0,2,1,false
0,4,2,false
0,5,1,false
0,4,3,false
0,5,0,false
3,3,0,false
0,2,1,false
0,6,3,false
1,2,0,false
0,1,1,false
0,2,0,false
0,2,1,false
0,4,3,false
3,3,0,false
4,4,3,false
6,4,0,false
1,2,0,false
0,3,0,false
0,5,2,false
0,1,0,false
0,2,2,false
0,1,0,false
0,0,0,false
1,2,0,false
0,4,3,false
0,7,3,false
1,2,1,false
0,8,1,false
0,2,1,false
0,5,0,false
0,2,2,false
0,2,2,false
0,4,0,false
1,3,1,false
0,6,1,false
3,3,0,false
6,4,0,false
4,5,2,false
0,7,1,false
1,2,0,false
0,4,1,false
8,5,1,false
0,2,3,false
0,2,1,false
10,5,0,false
3,3,0,false
3,7,3,false
0,2,1,false
3,6,1,false
0,2,2,false
1,2,1,false
0,2,0,false
0,2,3,false
0,4,1,false
1,2,0,false
5,6,2,false
0,3,3,false
0,1,0,false
0,3,2,false
1,2,0,false
0,5,0,false
0,1,0,false
6,4,0,false
3,3,0,false
3,3,0,false
3,3,0,false
10,5,0,false
0,1,0,false
0,5,2,false
1,2,0,false
3,3,0,false
3,3,0,false
3,3,0,false
3,3,0,false
0,1,0,false
0,9,3,false
0,2,1,false
4,8,1,false
0,2,1,false
8,5,2,false
0,0,0,false
0,1,0,false
3,3,0,false
1,2,0,false
10,5,0,false
0,2,2,false
1,2,0,false
1,2,0,false
1,2,0,false
0,1,0,false
1,2,1,false
6,4,0,false
1,2,0,false
0,1,0,false
0,1,0,false
0,2,3,false
0,2,3,false
1,3,1,false
4,4,4,false
0,1,0,false
1,3,1,false
3,3,1,false
0,2,4,false
1,3,1,false
0,2,1,false
1,3,2,false
2,4,2,false
0,2,2,false
1,2,1,false
12,8,2,false
0,2,0,false
0,2,2,false
1,2,1,false
0,2,2,false
1,2,0,false
0,2,2,false
0,1,0,false
3,3,0,false
3,3,1,false
4,4,1,false
0,0,0,false
0,2,1,false
0,1,2,false
0,5,0,false
0,3,0,false
0,2,0,false
0,4,0,false
0,2,3,false
0,2,1,false
1,2,1,false
0,2,1,false
6,4,0,false
0,3,1,false
1,3,1,false
1,3,1,false
1,3,1,false
10,5,0,false
1,3,1,false
1,3,1,false
1,3,1,false
1,3,1,false
1,3,1,false
1,3,1,false
0,5,1,false
0,1,0,false
0,1,0,false
1,3,3,false
0,1,0,false
0,3,0,false
0,1,0,false
0,4,2,false
0,3,0,false
1,2,0,false
10,5,0,false
3,3,0,false
0,1,1,false
1,2,0,false
0,2,2,false
0,2,3,false
6,5,3,false
6,4,1,false
0,1,0,false
4,9,2,false
1,3,1,false
1,3,1,false
1,3,1,false
3,6,4,false
1,3,1,false
1,3,1,false
1,3,1,false
0,5,1,false
1,3,1,false
1,3,1,false
0,5,1,false
10,5,0,false
0,8,1,false
4,4,1,false
1,2,1,false
0,5,2,false
1,2,0,false
4,4,2,false
0,5,4,false
0,1,3,false
1,2,1,false
6,4,0,false
1,2,0,false
1,2,1,false
0,2,0,false
1,3,1,false
0,2,0,false
0,2,1,false
0,2,1,false
9,6,2,false
1,2,2,false
0,1,0,false
4,4,3,false
0,2,2,false
1,2,0,false
0,2,2,false
0,2,2,false
0,2,2,false
0,2,2,false
0,1,0,false
1,2,1,false
0,1,0,false
0,2,1,false
1,2,0,false
0,3,1,false
0,2,1,false
3,3,0,false
0,2,2,false
0,2,2,false
1,2,0,false
0,2,1,false
1,2,0,false
6,4,3,false
0,2,1,false
0,2,1,false
0,2,0,false
9,7,2,false
0,1,2,false
0,7,2,false
0,1,0,false
1,2,0,false
0,2,2,false
0,4,1,false
6,4,1,false
1,2,0,false
1,2,0,false
0,2,3,false
10,5,0,false
0,1,0,false
3,3,0,false
1,2,0,false
0,2,1,false
3,3,0,false
1,3,1,false
10,5,0,false
0,2,1,false
0,3,1,false
0,2,1,false
13,6,2,false
0,2,1,false
4,5,4,false
0,2,1,false
4,4,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,4,1,false
0,2,1,false
1,2,1,false
0,4,0,false
1,3,1,false
0,2,1,false
0,2,3,false
0,2,1,false
0,2,1,false
0,2,1,false
4,5,1,false
0,2,2,false
0,2,1,false
0,2,1,false
0,2,0,false
0,5,4,false
0,1,0,false
0,3,3,false
0,1,0,false
10,5,0,false
0,3,1,false
0,3,2,false
3,3,1,false
0,5,3,false
0,2,1,false
0,3,2,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,6,0,false
1,3,1,false
4,5,4,false
0,2,1,false
4,4,3,false
0,2,1,false
4,4,1,false
1,2,0,false
3,6,4,false
3,6,1,false
3,3,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,3,false
0,2,1,false
0,1,4,false
0,2,2,false
0,2,2,false
0,2,2,false
0,2,3,false
0,2,2,false
1,3,1,false
0,2,2,false
1,3,1,false
10,5,0,false
0,3,2,false
0,5,2,false
0,2,3,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,2,false
0,2,2,false
0,2,1,false
0,2,1,false
0,2,1,false
1,3,1,false
3,3,1,false
0,2,1,false
1,3,1,false
0,3,2,false
0,2,1,false
0,2,1,false
0,2,1,false
0,1,0,false
1,3,1,false
0,2,1,false
3,3,0,false
0,5,2,false
3,3,0,false
0,2,1,false
0,4,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
1,2,0,false
0,5,1,false
0,2,1,false
1,2,1,false
1,2,1,false
0,2,1,false
0,2,1,false
0,1,1,false
3,3,1,false
4,4,4,false
0,2,1,false
0,2,1,false
0,2,1,false
4,4,1,false
0,2,1,false
0,2,1,false
1,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
1,2,1,false
0,2,1,false
1,2,0,false
0,2,1,false
0,2,3,false
0,2,1,false
3,3,0,false
0,2,1,false
0,2,4,false
0,1,0,false
4,4,4,false
0,2,0,false
3,3,0,false
0,1,0,false
1,3,3,false
0,2,1,false
0,2,1,false
1,2,0,false
1,3,4,false
1,3,1,false
10,5,0,false
5,7,2,false
0,2,1,false
1,3,1,false
0,2,0,false
0,2,0,false
0,2,1,false
1,2,0,false
0,2,1,false
0,2,1,false
0,2,1,false
1,3,1,false
8,5,1,false
13,6,2,false
0,5,1,false
0,7,4,false
1,3,1,false
0,2,1,false
0,1,3,false
3,3,0,false
1,2,0,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
3,5,4,false
1,3,1,false
1,2,3,false
0,2,2,false
0,2,2,false
0,2,1,false
0,2,1,false
0,4,1,false
0,6,2,false
0,2,1,false
0,3,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,5,1,false
0,2,1,false
0,2,1,false
0,2,1,false
1,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,3,2,false
10,8,2,false
0,2,1,false
0,2,1,false
0,2,2,false
0,1,0,false
0,3,3,false
0,2,1,false
0,2,1,false
0,1,0,false
0,5,2,false
1,2,0,false
0,2,1,false
0,2,1,false
3,3,1,false
0,2,0,false
0,1,3,false
0,2,2,false
0,2,1,false
0,2,1,false
3,3,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
0,2,1,false
6,9,2,false
